time,n1,n4,n31,n54,n105,n114,n163,n188,n215,n229,n288,n296,n332,n342,n410,n415,n429,n458,n469,n495,n506,n516,n519,n549,n613,n636,n644,n679,n722,n726,n740,n752,n769
0,0.0068312476721992255,0.005771100404146523,0.006539985324401698,0.0019905826566315454,0.00011009149388030437,0.0022690032502197255,0.0005273005694803601,1.714359744653393e-05,9.437321853056346e-05,0.0014469537191743598,0.0001602689911521793,0.0008137877084450906,0.0009514141752902106,0.0016379260182119992,0.0045464418101062165,0.004804594125474182,0.0018209642008102378,0.001525114949743056,3.817696964603101e-05,1.62096911751064e-05,0.001706048109276992,0.006028658383506524,0.0009799747972465411,0.002797840172796384,0.0003994436283321079,0.0010786511935592102,0.002565448360073219,0.0004776635039220878,0.0006172158439525788,0.0006523224853154375,0.0013046035258810207,0.0012202573288604412,0.0014234324772033347
300,0.008409014369366474,0.011527907439933927,0.01278492350177629,0.002249412873581491,0.0004245298203642278,0.0035423939845458108,0.0008666660742662202,0.0006125893118209547,0.00014281797208326452,0.0033368138855038865,0.0009695645158132038,0.0019534235237230746,0.0017164562332538935,0.003930898948460992,0.0003344218170013846,0.0029799077962451292,0.001056394715178044,0.0003157328655802871,0.0008673095211335635,0.0009114582039657648,0.0002288136371220162,0.000281750718819751,0.0041430920033107554,0.000496078408460221,0.0005829513374351336,0.0001540604809662227,0.001357067122086164,0.00011265386937253652,0.0008051742538981443,0.0002611269023020668,0.0015942252660536838,0.00098976218630753,0.0008375614416777921
600,0.0035091149068264826,0.01815049663144208,0.007143785917307355,0.0004428200753423539,0.00033796918201289827,0.0004668773520180025,0.000324511228278368,0.0004893377718460101,0.001439193754137591,0.001836370711984614,0.0008109670270215474,0.0005977866777868712,0.0020378471211941473,0.0022657643659655946,0.0012837255791140478,0.0015156958333335524,6.935425545151475e-05,0.0006147074949183207,0.0009529446361042915,0.000813001624671017,0.0010053895545780733,0.00783203288414569,0.00029026412917687594,0.003958290120728236,0.0014799106261591533,0.0007062358783045397,0.0020280046793814677,0.001570807114433137,0.0004904907655003399,6.879451616725873e-05,0.0012613195767912089,0.00011089693416721502,0.001096332478397244
900,0.000734050810564213,0.0017829327840885867,0.0008638990751421716,0.0028669645784660247,0.0005574817534252929,0.0018721884191137406,0.00040297304594361094,0.0006567602381295501,0.0021271627445997865,0.005120669084739404,0.00046662324707114067,0.0003184777239937375,0.0014405309420766343,0.0015011255361514486,0.005335555317664387,0.0018117808587447826,0.0016596781136968275,0.001581275840607077,0.0008716775963151235,0.00034311316846213913,0.0026059655833989837,0.0022675745226976574,9.415800796830354e-06,0.0030563835139503226,0.00017328674573491298,0.00010237009227154203,0.0002447677030374962,0.00030157361419469453,0.00022069886713893538,0.0003381730651028647,0.00017804523710651665,0.0005933253187393461,0.0017382074071008446
1200,0.006997256014749098,0.015600242897100713,0.00868652163796213,0.005097723077447824,0.0004287462843919343,0.0027684237153522417,0.0017992166020093237,0.0002930099156301935,0.00022200662701266083,0.0004084972099320794,0.0007471954936519865,0.0008621123497576377,0.00011945516646960641,0.0005273419408098334,0.0030922405163522626,0.0008066742037300401,0.0026359970107066033,0.0022366673915215074,0.0006199169253235937,0.000861500197963494,2.1053713410879027e-05,0.005244897670536375,0.0011271420638863106,0.004982064255671048,0.000255978242698518,0.0023168234446941938,0.0047848280196021165,0.0005489663414763868,0.0003970634344625523,0.0002104255650721143,0.0006099960120522496,0.000565665501511603,0.0017757258484820682
1500,0.008339249029706508,0.0038378122440150264,0.010041519111943842,0.001884369086354809,0.00021185024802150565,0.000710191990833664,0.0004865519533794327,0.0014269509161408678,0.0007812836707330462,0.0026055262679491875,0.0007015693821372793,0.0011754490667286177,0.00022805344454468468,0.0024069101554857752,0.0041661237363470605,0.0008133015998623705,0.0009572328795925955,1.67265637003311e-05,0.0001658613258683772,0.0009487636100047325,0.00011873698308306757,0.0010778702172729027,0.0011754831211305827,4.864975392138149e-05,0.00024542241026637157,0.00128644926971333,0.001731932266913816,0.0004826301256599663,0.00036347007373649376,0.0004314857058531629,0.0014377732967716383,0.0011612404830074752,0.0001795735482161831
1800,0.004873168353153545,0.001339539326572492,0.005948936071028754,0.00012132028907529957,0.00020235660709744252,0.0004387873436257905,0.0008408860832957998,0.00018749204402723763,0.00011453880231471203,0.002106416611653117,0.0005006016576061256,0.00045335442124638803,0.0010099947287471878,0.0017546492679656467,0.005561558656150822,0.0021400668774518294,9.987159614865959e-05,0.0004994384447840616,0.00040111702821121753,0.0004955751984141443,0.0001431373947085035,0.00039893441002192276,1.1114907991327527e-05,0.002142093961907676,0.0006265106109779595,0.00011865163834556824,0.0009617856228487653,0.00026349136854975086,0.0003085007741674417,0.00031811318726937543,0.0007761824512257931,0.0002506302128111315,0.00023788073640673701
2100,0.0038659087341983422,0.006272433257883847,0.003863444153047624,0.0026687664218201235,0.00019173716780329642,0.0009707502694311643,0.0010732558654922286,4.806289987868695e-05,0.00020756307930014373,0.00028916684318147645,0.0011018293199072104,0.0008747201684755623,0.0008211931672761352,0.0031820591288891364,0.0014922521697684488,0.0027804784208811384,0.0013211985941339321,0.0020381485890013096,2.70177452534881e-05,0.0008788170835813958,0.001440290799060051,0.0011827433650068997,0.0011751957841710237,0.001615311745140957,0.0003102395883942677,0.0004906479850248502,0.0007964221024892026,0.000808845610244191,0.0012038282713788817,0.00014348456589630132,0.0012343657815705456,0.0003608710207672061,0.0007670086525521924
2400,0.002117441636372064,0.003636261737128166,0.0023323860209387703,0.0055359520608604385,0.00017943280192156408,0.00029671705564027206,0.0001846824851980955,0.0005995080687952736,0.00025377010951643797,0.0018538128896850026,0.00020954200751077678,0.0009311086198664498,0.00027368951275263953,0.00280844506804101,0.001844240182965251,1.9597691810702145e-05,0.0018582314080788365,0.0009888358621026327,0.00018518758012930903,0.0006277698569547852,9.370528954377733e-05,0.0024211691034707883,0.0008644297601492212,0.0026370604770917794,0.00033771977643937134,0.00026244186065582653,0.0001019386387994814,0.00016208002707429614,0.0008450153248773518,0.00011485787172915707,0.000517067059575993,0.0006339201982328291,0.0019998040069211243
2700,0.003958892684256199,0.0037579115566472865,0.004683200963143008,0.00023863886073627327,0.00031827368734127504,0.0009467454093226024,0.0003111394738510853,0.001218910348043778,0.001091402900883054,0.0039746565276743695,0.0006901919490402975,0.0001972669899430457,0.00021400066793830774,0.0006551010967186244,0.0020585675183255603,0.0032192156738943822,0.00034466526369669737,0.0012271859879575686,0.000628200297398962,0.0004559107362709369,0.0006338082865511296,0.006798747816624484,0.0008024271928945836,0.004906764070575775,0.0003776627272884525,0.0010459680525727322,0.002378794183101718,0.0003009313282333892,0.00037727465691972384,0.0001755063961184078,0.00029204748627620347,8.672456970515441e-05,0.0022534484524925347
