time,n1,n4,n31,n54,n105,n114,n163,n188,n215,n229,n288,n296,n332,n342,n410,n415,n429,n458,n469,n495,n506,n516,n519,n549,n613,n636,n644,n679,n722,n726,n740,n752,n769
0,2.1276757529972663,3.9606239300690476,3.78817268680109,0.09660184466043376,0.003899265247355288,0.06043993422527194,0.1625584856435367,0.2670784962086046,0.010771184709909676,0.0032230291995318794,0.02600205804716893,0.08743512204684123,0.04613376051236173,0.17832267886325326,3.317123515784175,0.3606230401177726,0.028112018713308373,0.04014081259271762,0.014063897687449867,0.016697258718153307,0.016961984424881393,0.24377378272362904,0.32408580297996537,0.1818147590647996,0.21783378046714574,0.1736950775843198,0.1885027982102514,0.34374059828734005,0.008224410517563285,0.018777463211399947,0.014013876848970597,0.026147615153810477,0.022743426449956416
300,2.155287349898881,4.071885208607874,3.6663844575151643,0.1328514732357533,0.003828129129608726,0.0367241738940578,0.14728630682764532,0.2016420665599128,0.003738878877449281,0.027601547927226022,0.01534437532176014,0.05717621282303753,0.03939402098551881,0.14405709689187063,2.070335992552664,0.2847684584282675,0.004393480724750987,0.007825647151690873,0.011305200828907402,0.014497716507328562,0.01147367211355288,0.15535742679642084,0.2045912932996643,0.12700951909489078,0.17101889235774337,0.11208562867642513,0.19909409529132915,0.23855803675327536,0.00466004975409362,0.009731167499204219,0.00887896287723322,0.015137248359636146,0.013188234427779832
600,1.8916561399013254,3.5973864862645755,3.1506489253322414,0.10558327174512527,0.0033150187049457713,0.047221717109060535,0.13614510580342198,0.2004527769057205,0.0026068755465118443,0.011423602840757496,0.018207208002230857,0.06412720087659807,0.03911094065616538,0.1459425733167805,2.267869339176279,0.2869804712833641,0.008587604808404592,0.013213649161215812,0.01112708411213248,0.014182724163433136,0.013094802536670613,0.1850608239457685,0.22527889773126475,0.14362022914560413,0.1711424413915168,0.12447932854029631,0.18026302192570398,0.25598732938291135,0.005738466665356157,0.012496960167624138,0.010272070460942473,0.01855064382390026,0.0157278817513955
900,1.475378802565043,2.732372715252744,2.66683796683931,0.018617561593202936,0.0009036127582291442,0.06723299343715183,0.10329655572994767,0.1770876828538377,0.019674985408741463,0.03145349147023779,0.02320394298855888,0.0752692783633151,0.03422130014426017,0.14870651818056047,2.491265742810917,0.25866627561112665,0.042607051203034985,0.012365922224823578,0.00838438768635541,0.011622309407947284,0.016803031767572918,0.24530386919304448,0.25907869457343935,0.1861603781237946,0.15327928893487552,0.14302492364012664,0.1007323731069647,0.2811354554376919,0.007774407000390227,0.018898584034197086,0.012487163700299675,0.023690486498303187,0.02040342696672326
1200,2.3409048622875908,4.471426146423397,3.8426039049578264,0.15911964802631928,0.003603271985589629,0.029032638397900712,0.15223628700663028,0.1866133426680534,0.01042867759614552,0.04469977904484068,0.012342498607715413,0.049574936873547415,0.04012952896803057,0.1613187989790248,1.6587896581610053,0.2753715147911251,0.01842623947366917,0.011556554618060488,0.010393625863478917,0.014665430470195417,0.010939798926514754,0.13484634764143522,0.17974474542958063,0.13310881856072143,0.16633414506452482,0.0964136095541619,0.2205855319785286,0.22016773556275382,0.003523496214668853,0.006694453199230566,0.007248732818766257,0.011963316041999406,0.01055420046825617
1500,2.032384308031208,3.831134970666305,3.4817437500913115,0.11745398658546691,0.0037730987883719536,0.04009430067844022,0.14585194658438638,0.2068774798508528,0.0005206579553700408,0.019533150707800928,0.01668111221783164,0.0605891047596927,0.03886451189437423,0.13904478112426943,2.24613765561228,0.28733148483706117,0.0031247123120508036,0.014486444318492886,0.011465594272088708,0.014301508632456716,0.011852865238722643,0.1651981591148015,0.2162204697969372,0.12770363763944914,0.1721690680044219,0.11837055876367941,0.18486585616120266,0.24904907418933675,0.005158539753310265,0.011287465558702081,0.009515295377504174,0.016303627931527842,0.014445926186908764
1800,1.891515591759653,3.5637623700875665,3.2456283734906606,0.11740501171437501,0.003295141985290684,0.030619940626451125,0.12575782724768914,0.1773655807782859,0.0032192363094623033,0.024766894738711187,0.01383261251920942,0.050960523526633494,0.034508909824168654,0.13305751714726455,1.8649323215053997,0.2515490433963734,0.0035108511561787736,0.00978889080934664,0.009909211192152156,0.012660556847976068,0.010243853947848436,0.1358505611282581,0.18813473714735807,0.11626451847534724,0.15154745042418227,0.10121514473830473,0.17586886996434004,0.21218867029870836,0.004155549868343655,0.008567157479838272,0.007838468577446633,0.0137549712045697,0.011931898411063457
2100,1.966104881717424,3.743960107875175,3.2603620666783115,0.12140497299100872,0.002775534096407739,0.029659468721824567,0.12968225774348952,0.16496468263098762,0.0063877136621073305,0.03210289606757044,0.012049269918392724,0.0462115888273118,0.034532928097931403,0.14552201207191473,1.6007608467488197,0.24024094533644558,0.008092549967642526,0.007112266555623137,0.008753364077513481,0.012485229565314171,0.010347640604528863,0.13027608909894894,0.1706509752077423,0.12645090673644432,0.14615079880501725,0.09006735655140119,0.17485047782133023,0.20302969741736376,0.0034951554325175493,0.007229072340294351,0.00672995178528879,0.011531792814892583,0.010468904969570758
2400,1.557863839267359,2.9299469637689057,2.6879675813674524,0.06010966423806252,0.0020461190417861985,0.051146966526097515,0.11379177076933189,0.18084647387827602,0.009684565173749604,0.0070568633351442145,0.019245141040229896,0.06472243875315797,0.03414778403967489,0.141188594730302,2.285145009899601,0.25732313302573573,0.02362051691359568,0.014881191245770253,0.009180207440202537,0.012040591191933459,0.013753929954305022,0.19602555156495072,0.2336612427313156,0.15328782611916836,0.15386274651415732,0.12654943271780894,0.12846881187081038,0.25383300446492996,0.006167952626796591,0.014395980096217897,0.01033118980487302,0.01925110529775509,0.016949886367982003
2700,1.5367730161359212,2.8222512094706005,2.8458369362032983,0.04668642860416128,0.0029777155149801615,0.0599536030991743,0.12330785506412667,0.22241734319355544,0.01632613106196601,0.022188232397951424,0.024174844017871067,0.0788021004670938,0.03679192487793159,0.13150602363842268,3.016765933833632,0.29701786795318696,0.038131491016415,0.04403398273758796,0.011756469426394744,0.013258660766425123,0.014952592887112814,0.22687055606567696,0.280281669897505,0.15116354627677708,0.17753263950780251,0.155253210244382,0.12787029214139523,0.29607610313649957,0.007916494154905251,0.018650738056408045,0.013143707754892375,0.024547574890412704,0.021119640241686
