time,n54,n105,n114,n163,n188,n215,n229,n288,n296,n332,n342,n415,n429,n458,n469,n495,n506,n516,n519,n549,n613,n636,n644,n679,n722,n726,n740,n752,n769
0,0.30899575922785516,0.0014566792713637255,0.03931872359494548,0.12478396043507445,0.027538099445727937,0.0648187569906824,0.14326159598316934,0.048986623803827456,0.1167531227225993,0.07315131477561465,0.08019765063824025,0.3936249087131074,0.0864698043311094,0.10894453782628943,0.010676451137086929,0.022873287639789908,0.011405000922067643,0.2157016502411011,0.27653512811170344,0.10200719907231814,0.1441051919137024,0.1954201964863671,0.5368097385733108,0.2316441842810093,0.015780036150523813,0.015480268398540886,0.022941762120680664,0.04675337168773552,0.039235330717801276
300,0.2688607996572614,0.0020447001585708335,0.02653452751103913,0.08425626114541984,0.035303372558267654,0.04348800081645976,0.09380516077477097,0.034164549255564225,0.08283391618215319,0.05727368137277011,0.02973287492788046,0.30928821983627586,0.0869361664329773,0.09672387844290142,0.009621846557749336,0.01911859517920078,0.007064210663820347,0.14500503269478315,0.1836522121632811,0.04892210667435393,0.11350138924958486,0.14190338349575882,0.4343388247242359,0.14753232433572805,0.011202793634247143,0.008758546814100043,0.0171606771310735,0.03392019316940775,0.02643388558603732
600,0.24323672349452607,0.001445460112023511,0.03716697874357777,0.09698903696983763,0.020816342132349064,0.05105051734531685,0.11722390909188363,0.03865076387447175,0.09259408229181076,0.06005717276966749,0.045955641997949215,0.315361463864555,0.06788531937330333,0.08435280842121529,0.009026159646033705,0.019166135839817855,0.00881831065603933,0.1769996169387582,0.2007042361779412,0.07201184887983203,0.11225844947881569,0.15171627670410714,0.4286927828133571,0.17397241369731375,0.012726311223204334,0.01280801401618703,0.018725543801117794,0.03725530023621104,0.03050239665136445
900,0.12215397376584747,0.0010486986293756217,0.06039803692033985,0.10969503337037168,0.019224566627350725,0.07003397045264137,0.17651430341622643,0.04608891826669037,0.10876255027154258,0.05794909361286926,0.09591010970072489,0.2791449436890119,0.003002125428182012,0.014740162439714766,0.004991348615448032,0.015491280781084527,0.013345167197158503,0.2486485275243595,0.2274562638842923,0.13906996065075816,0.09168551901107236,0.16271222327060997,0.3269066345174494,0.23705703924377275,0.01537909728578768,0.02453279828726096,0.020611808570251355,0.04036588557199394,0.0381624940165608
1200,0.2633352595705958,0.0019156314914710038,0.023417993428481054,0.07660315321955125,0.03672349261945129,0.03931000778219129,0.08181829745539915,0.032348419724200994,0.07815991288861568,0.05545653269970785,0.03871759233780381,0.29700156858554294,0.08661670446635128,0.08852863607745576,0.00908859140785978,0.018436483834065598,0.006792121115012151,0.13548293307470516,0.1741828364536886,0.05092266316351157,0.11315137561059174,0.134704622059715,0.4186465071826575,0.14341900552287257,0.01047996498109427,0.007718306662830798,0.016087219638222905,0.03218183232794303,0.024989167366896936
1500,0.26259677425269246,0.0019402288202812201,0.027912193217268566,0.08562424436629357,0.033010679748009863,0.04568934246933054,0.09983374125603461,0.03500154898091523,0.08517145322369402,0.05760816842543903,0.030501772188706866,0.3119035880473504,0.08227079837146078,0.09435829374043436,0.009529736389168875,0.019098414055271462,0.007367200484964087,0.15050773796826888,0.18891726272414644,0.05216873134275346,0.11228269900881571,0.14407433836849748,0.43124575413030186,0.15614578577829974,0.011511894180046056,0.009894611081655569,0.01747166480963358,0.03426847266850075,0.027358372537946707
1800,0.24424052599001556,0.0017087701507847441,0.020208939325002007,0.08018486743131348,0.027256031528757774,0.03729074372073882,0.07740436773743653,0.03030273665861216,0.07297053696441935,0.050224302831175294,0.03787493249262042,0.2728623470451481,0.08025204846431677,0.08881312873124614,0.008330095477518284,0.016597937288210574,0.006342181942436298,0.12443912172425087,0.16927673978774038,0.04872306192312692,0.10124771592843018,0.12681094797891035,0.389904075339345,0.13049991101217984,0.009779473515408199,0.006913890074926599,0.014934241785518054,0.030216539509588358,0.023553466164180747
2100,0.2136816862155939,0.0012233105474308559,0.02361006751381467,0.07212663361074334,0.024058347477733832,0.03657718267128729,0.07801759707773215,0.029397413752988655,0.07031213920464552,0.0480919158068005,0.04797545796760261,0.25408333755148504,0.0658413014140109,0.06793502341887603,0.007179902117350423,0.015409364976250117,0.00670769972855112,0.12875232907526168,0.16193405830193086,0.058045530870195705,0.09642792827166602,0.12060908153162586,0.34982855291361403,0.1362242150509445,0.009424623783075958,0.007898845293937029,0.014064457835665678,0.028620514889475146,0.023176392394191225
2400,0.18189732617710064,0.00023548757918945284,0.04115117134363544,0.0966280316239434,0.003072712460522098,0.05435625517684883,0.12839904693391446,0.03854310004319217,0.09145153080049795,0.05431087194514106,0.07186114467715754,0.27858673679530455,0.0370571721829549,0.05073507837312974,0.006500089954812438,0.015971393261750677,0.01002237322849453,0.1890819908637127,0.20645085766815896,0.09723967498059949,0.09695138584675078,0.14732028725725854,0.3533872165657641,0.19086327702239458,0.01255804093775481,0.015717174467120287,0.017581013211703578,0.03527149820696707,0.03154732181484121
2700,0.23273609363530312,0.0008982210761416809,0.04112859735487007,0.11200378881526518,0.010206453199195664,0.06019764399437122,0.1403506744686993,0.04296496458906063,0.10254236794565941,0.061452910786108816,0.06104549782642721,0.3243056965627318,0.057032120224860705,0.08068938278967153,0.008563638148373798,0.01884135434520573,0.01037525717086396,0.20043276949346733,0.2289931627350299,0.09190040564329394,0.11148362640640386,0.16668399439087267,0.43291291871039306,0.19937106663419968,0.014148251246318466,0.016144427101998815,0.02032387108322098,0.04037689667278954,0.03449859813991907
3000,0.244318002542677,0.0020613436837351173,0.023003036562364798,0.07637541178600316,0.030232078601528656,0.03588095256770174,0.07676972942937965,0.02897094375745013,0.07042047542289964,0.050550561559376206,0.018396047819891237,0.27443655969458547,0.08153140723475616,0.09260091083778121,0.00883103873825064,0.01717587215409111,0.005694176174891652,0.12140350447744197,0.15867180399807523,0.035186228859636515,0.09868874578918962,0.1225127722505448,0.3861338389610438,0.12140598770932343,0.00945573953436707,0.006245859139546894,0.0146539439892166,0.029215138453423606,0.02236845648717889
3300,0.11621393223809662,0.0006881943429988269,0.056536455255169926,0.1196804603106898,0.028611455283638065,0.06782966135246937,0.1727094459837204,0.04536873421547227,0.10752999042060907,0.055165870062481304,0.07821414370712176,0.2707075236185901,0.004491077447028147,0.03641216944727432,0.005585234183378418,0.01508563779530192,0.0125246206064773,0.23663372165645313,0.21801698496847877,0.12688085314526631,0.08230020090901746,0.15296048840597365,0.33990163840535814,0.21962633590280234,0.015426293940855373,0.024373849299358596,0.020800670887261674,0.0405403992134481,0.037169098480923424
3600,0.2077312932718769,0.0011334154083542103,0.03318156665836369,0.08610573965171398,0.015197581058856713,0.04503928020747594,0.10401173768208594,0.03353154797346036,0.08011013517760546,0.051663967283964496,0.04120924773832968,0.2698421656308554,0.05751944471925441,0.06957176075174942,0.007592737936981564,0.01634055426099934,0.007798250008072216,0.1558351300067784,0.17385688472818117,0.06452619512830893,0.09517721920094147,0.13280085248502616,0.364706606217311,0.14937695296399767,0.011033096993863012,0.011194368937559318,0.016205452986952196,0.03221044238097903,0.026517753167667024
3900,0.20923251475263527,0.0007838238518687035,0.02768672235530545,0.08394245698540459,0.019250569715360655,0.044573958064290764,0.09878925354125556,0.03256299779046401,0.07653407450413852,0.04820053899923238,0.05822492624858455,0.2586565933197633,0.06009062900196227,0.06620008497547758,0.006712137326964296,0.014817079575635717,0.007794628438674067,0.14684020602680903,0.18752556608905735,0.07046116483998333,0.09593388364783095,0.1360133148946545,0.3446698691676602,0.15276717513931004,0.01030578338705368,0.009550358940302317,0.014965116349564767,0.030916665931464138,0.026223782228164794
4200,0.11640607313938744,0.0003401356493597518,0.04423732423778404,0.0889645590442143,0.011803604537242052,0.04983699828461141,0.1247832667384543,0.03511767891038886,0.08208565579603544,0.04587578782632562,0.06916416211910814,0.22297394673389448,0.009930871374606909,0.029075909147003642,0.004721665844762413,0.012823173087760154,0.0096461956109124,0.1825211688410775,0.17015262188103009,0.09867374816622743,0.07564649384077171,0.12364843968632755,0.28045489914884314,0.17023336203526895,0.011656604930450953,0.016731850431959572,0.015876138276574636,0.03189068320067889,0.028605825704886456
4500,0.21114881012642428,0.0016410336715892981,0.01231962672462572,0.05647002327769712,0.03276154178522006,0.026318406419960638,0.051051893730601705,0.022002743934464775,0.052774345793864086,0.03896738495506469,0.02453738880844014,0.21710632345345005,0.07516255356104296,0.07645258088221851,0.006875030161438644,0.013254878033087891,0.004216136225657863,0.08501032654560703,0.13248790465174665,0.027540459060084288,0.08405066464461441,0.09950718934251057,0.30964985802201994,0.09408967514379896,0.0068843295757545775,0.0028062527999495046,0.010835547102040266,0.022468663731373795,0.016968683990704392
4800,0.16043228696653244,0.0006864084798294812,0.0264198762059209,0.0717845720669672,0.010109769971215599,0.03677821784732771,0.08430162863565016,0.02808539157591383,0.06652575995858712,0.04153449325320935,0.04641330480018979,0.21706238180575355,0.041304720122184335,0.05534569148695567,0.005793418187408861,0.012824622112105999,0.006727924684717834,0.12903362856023648,0.14971880050008934,0.061766308814569015,0.07871166648076411,0.10793022119077023,0.29426251307359763,0.13134855730302775,0.009131540602957955,0.009687191611710944,0.013130113117476583,0.026760360936393113,0.022437921800516847
5100,0.11739819012171182,0.00023675248733923127,0.02813550295720546,0.06587345992875271,0.0005715790891329675,0.036465082936118165,0.08747035735708408,0.025867383192455407,0.06178334780377526,0.036290760736598315,0.04182506678105824,0.18530724052434522,0.022578004269803387,0.03624085106068975,0.004523372225122557,0.010788396460505112,0.0066238723233524865,0.12697627971818548,0.1332927150943064,0.06252813995323692,0.06248314180180614,0.09588844355891268,0.2399437326528897,0.12442184528142519,0.008582889793068205,0.011072023114849117,0.012066095837639068,0.023854510268236595,0.02094987105292745
5400,0.13302227413379342,0.00067891429823419,0.024872730630171702,0.06487700672725083,0.003714559560876296,0.032965533007931924,0.07812002634985049,0.024130168833032428,0.05786574773509301,0.035772050025492774,0.027530826262378127,0.1853371779429409,0.03318023168372264,0.04820197824534489,0.005176966754859791,0.011182237807766171,0.005710880453271727,0.11391862627297655,0.12232385927341483,0.048218933569152966,0.062335196470201026,0.09139337396990754,0.2524444055498165,0.10584535982174259,0.008069229460389238,0.009045034133791319,0.011709033890745957,0.02306956376499869,0.019090973028085045
5700,0.11504123283457801,0.00012085923342652904,0.029885376042017242,0.07115252646311632,0.00472522353193483,0.03780605924391267,0.09127559098258331,0.027563089084203796,0.06546158974389726,0.037767617312397306,0.049420120857860184,0.1895289288351023,0.01934146699579742,0.0362917931472424,0.004544153567380249,0.011061184116968548,0.007170946300817604,0.13529440472548515,0.13724542542313856,0.07082188496677588,0.06461542115540908,0.09813089895219207,0.2513125109753176,0.13073324302947498,0.009191025089805294,0.01222557228881982,0.012818770931438905,0.02550555776779362,0.022218846234054013
