time,n54,n105,n114,n163,n188,n215,n229,n288,n296,n332,n342,n410,n415,n429,n458,n469,n495,n506,n516,n519,n549,n613,n636,n644,n679,n722,n726,n740,n752,n769
0,0.050875821263332455,0.003801186068642437,0.09297508514885067,0.1152782168260984,0.28032383651029136,0.08246546765735019,0.20973585250048643,0.054296811774079856,0.12952722144823525,0.07764853511594083,0.1433208446936476,5.83736314948019,0.35581918804204093,0.13386149977048234,0.25589481602869313,0.015374976356646641,0.02479177124168075,0.016651706598636906,0.31781504992336096,0.42545898240488356,0.15592882136692765,0.20791281111777238,0.26213958957726646,0.10218263653319326,0.37034820475015096,0.019494139739933303,0.039410719530380334,0.027638297976707804,0.05517676491963641,0.04540003504845913
300,0.008942135843874155,0.0037205461930369665,0.06697673328461917,0.09219444902257123,0.21585317570783502,0.05675067137173784,0.14396430424683615,0.03914344978977624,0.09417623015729504,0.059518239665578676,0.07758345679303602,4.344894061197323,0.2715233558820458,0.08906891874746492,0.20167985158590795,0.012640768471413821,0.019648875455430925,0.011132390778833212,0.2243199607731654,0.2976305001087951,0.0900127286552177,0.15713701252137469,0.19211651158993703,0.10125135439483302,0.26479408474434507,0.014144985028430312,0.02797044660825776,0.020636902187007422,0.04023073180824355,0.03235090837780774
600,0.03294050284777228,0.003207485222283424,0.0767145789326733,0.08640521089193953,0.2134915601832148,0.06445032393632033,0.16744033566355654,0.04210265191544238,0.10068389771627295,0.0617952487493838,0.09448553742058152,4.447334962384932,0.2774258366412994,0.10104644350851544,0.1959282571414107,0.01235112828284457,0.019881826556513715,0.012800872344044478,0.2521018523340146,0.3155741729179482,0.11329516689178831,0.15934573333638014,0.20210804114207548,0.09212985388418105,0.2810622425550875,0.015325504051006078,0.030526407671807476,0.022015836771181796,0.043597013162113285,0.03490655534632481
900,0.11431389192415509,0.0008168817278715323,0.09375962255566606,0.07052584730908507,0.18571100039954302,0.08232068561527939,0.2212795323206933,0.04537148394687307,0.10752725417093245,0.05948160026247962,0.14095901830630453,4.265695958432442,0.2565359312697666,0.12880515638529033,0.14047727731872328,0.009227351966167419,0.017417897669709248,0.016606243683639832,0.3038932095012399,0.33270173214033605,0.17619058703751733,0.14673397991697357,0.20837351135438098,0.027313911080618425,0.3002278865559447,0.01683332601280796,0.035323945471290585,0.023155619133596872,0.046233710509099524,0.038115465455938136
1200,0.0012292559409345927,0.003476196577892665,0.06133743270034131,0.08729938362514389,0.2029675498037946,0.05169881658148512,0.1288459218310294,0.0367555057562825,0.08828256197292461,0.05672939340357175,0.08297987836474618,4.048000167900714,0.25659388959162044,0.08035139388951507,0.18676145013965595,0.011865755113440457,0.018662823608238455,0.010558231340070279,0.209295901980191,0.2799380842804666,0.08901643993169728,0.14922684525858898,0.18109835711776867,0.10446513900928522,0.24930579675422138,0.013207137522833534,0.02584117464663649,0.019303013351837706,0.03803428083156035,0.03032846692789093
1500,0.019387405859575324,0.003674049374289723,0.06935449134437732,0.09545897407834758,0.22023517053043662,0.05929215418198197,0.1511984899894543,0.040166567557399446,0.09680697076620959,0.06040280369294493,0.0796778216271079,4.465107091146713,0.27660180842066495,0.09484315084765171,0.20364444197227982,0.012734500436323515,0.019878847710700143,0.01153564048503597,0.231699797309183,0.306023116511021,0.09432925745516485,0.1598204963282086,0.19594956952676057,0.09310643844611377,0.27409879925081526,0.014535768923146009,0.029185379645610965,0.02108189036873398,0.04078098826401089,0.033346482456373394
1800,0.003854482086190103,0.003204638970260021,0.05674126785592648,0.07789389269305502,0.18968789807637876,0.04910370615900206,0.12225880068093176,0.03473992596971698,0.08330698897341904,0.05246537033579557,0.08003476775881069,3.858291220285217,0.240382158000088,0.07766492135533554,0.1811880837830202,0.011072066926757884,0.017231558053069307,0.009946845471510812,0.19579212616958586,0.26961607725861825,0.08502496686426753,0.1397133634742076,0.1712761591797758,0.09296068465782525,0.23491617540243226,0.012447385934009958,0.024411660729164453,0.01809146466691658,0.03581591787496308,0.028769437852709245
2100,0.016365312389289954,0.002664928556725954,0.057294846123461696,0.07629638360958069,0.17840765108731205,0.04770296950587749,0.12014068694112012,0.03324825825885824,0.0794639708023297,0.0499611993378295,0.0874589474893952,3.645620109863252,0.2256006985227188,0.07805916435372495,0.15973968907798053,0.00996805201148021,0.01612541994131078,0.010031900519486214,0.19379413326588235,0.25646204729503097,0.09192160492199264,0.13230282819516503,0.16250085677759785,0.07437396066711699,0.22760723821554762,0.011885165786083007,0.023740220233193554,0.017058412453231142,0.03390802733132858,0.027663041229473606
2400,0.06398433538183212,0.0019573289372871727,0.07679464454606233,0.07586815420845028,0.19097877987175593,0.06665895320816873,0.17416981610386273,0.040628665293183985,0.09665438260888237,0.05657298652510434,0.11623825833662949,4.143737716768108,0.2522419698178098,0.1064103269978176,0.16257519836587875,0.010143431085360533,0.017447126120764267,0.013526544812826558,0.2539134824544078,0.3107342442851291,0.13463829535427863,0.14554986501805445,0.19334549904579035,0.05248718297357158,0.2744351918042156,0.014750434396589185,0.0303096703753738,0.02061580895487225,0.04115434357603931,0.03415102191522834
2700,0.06484604601953947,0.002909814372394237,0.08517022576208433,0.0930999711120748,0.23122913781648435,0.07501489755340884,0.19569433290315885,0.04682232816612952,0.11175821136702524,0.06548135464605309,0.11475280882336136,4.948077308336639,0.29778115835996033,0.12108223583141609,0.20855076664411598,0.012685236531083888,0.02070227151870796,0.014741730550291265,0.2832451589021474,0.35599349970609495,0.13741517221622246,0.17216587808677275,0.2230782498496211,0.07059335754718177,0.3152449353576756,0.017043687053408973,0.03489832914107893,0.024102396371596058,0.047482427847555186,0.03912918543504418
