time,n54,n105,n114,n163,n188,n215,n229,n288,n296,n332,n342,n410,n415,n429,n458,n469,n495,n506,n516,n519,n549,n613,n636,n644,n679,n722,n726,n740,n752,n769,Flow_p227,Flow_p235
0,0.14616649003671967,0.004502932754263611,0.07635989731224413,0.19299899204257542,0.26640216080560464,0.004366018847321129,0.027977350109921417,0.02213541545830111,0.07720028522827249,0.0434086923846948,0.20670614577877444,2.979334751979856,0.37153781470932046,0.005792635762055909,0.0028448845786499533,0.014760037254205827,0.015754725515463974,0.01745047065804073,0.2475668295560638,0.26840735196003607,0.20461859594754372,0.22740137206036337,0.15216189949783399,0.23219323236455836,0.3382474007297773,0.006528189204772161,0.01376214785609875,0.011985796974904872,0.023764613521109368,0.018558421927785673,2.7433995509578812,4.3778943317053445
300,0.17719566471281212,0.004413691333866154,0.05022769183548803,0.17645817156538612,0.20075572365752237,0.01619027708501619,0.05348331439150655,0.011991654106495275,0.048234619626512654,0.03770010710942984,0.17206693198016154,1.7581457993315581,0.296859640848794,0.024117284453062382,0.0244873947557096,0.011972695358217322,0.013875770887693761,0.011936096450725131,0.1580299546617212,0.15185775889079878,0.15118882169841186,0.18113786675906596,0.09256053484175197,0.23891545941120995,0.2326428549834887,0.0032076917084751244,0.0053877636954240415,0.007111464350664676,0.012833537243864157,0.009632159567921406,1.7886661778404063,3.450961089288359
600,0.151266968342334,0.0038716744504654343,0.06066790267504274,0.16505328663821928,0.19974326669390763,0.010449531791344668,0.038940719512552846,0.014755610376695927,0.05517130682173388,0.03736081176500505,0.17367959270745104,1.9505761162192847,0.2989476517581693,0.011657036260132259,0.019317286183515137,0.011750125835263248,0.013579659411313116,0.013556901837617374,0.1874406399098305,0.1750796746929879,0.1659928942831499,0.18100891099958005,0.1050994865130832,0.2211587538962121,0.2508139523658599,0.00424054677534258,0.008076381822903045,0.008464326002744826,0.016183070239627284,0.012071431545024325,2.0259075805254505,3.587937384620066
900,0.057672280783926055,0.0013498760291739131,0.08090006988628318,0.12609281715862863,0.176561307917936,0.007017695330020501,0.005229355138375524,0.02023119963713782,0.06746580201573948,0.03211609646950109,0.1685613214737316,2.239392352152837,0.2669796868190133,0.02529400969635276,0.013406402222621239,0.008866608496653328,0.011046779590294875,0.01715239115163314,0.2489361287767693,0.2190699676827279,0.19988303674711005,0.16041550874558652,0.12713262905954537,0.1346477513431239,0.27747084301572045,0.006446834787737998,0.014969332967062599,0.010924945655666818,0.02195806035773984,0.017156673590903893,2.278364731016597,3.427409624889088
1200,0.2050686005850082,0.004240151439439899,0.04267978020052965,0.18358344991397502,0.18566254608676047,0.02286565961517084,0.07051897561966314,0.008902875544414712,0.04037915362992095,0.038712959525391,0.19046083846431827,1.3316231154881635,0.28912654249674574,0.03874805709917695,0.04399516768881284,0.011108642804700253,0.014166607140595033,0.011431285330957053,0.13739236983992953,0.1232183233434796,0.15903621715526128,0.17765839994538624,0.07583084639079374,0.2623141955907897,0.21354811042417055,0.002047903154242192,0.0022606446199375796,0.005443222076671361,0.009485183969587752,0.006935068507296194,1.38334573526621,3.2221217117351593
1500,0.16104765858192138,0.004334488292506933,0.05344607132909829,0.1739210009554597,0.20611564302090812,0.012990655757256775,0.04546398448979261,0.01337056489011701,0.05179127547598483,0.037071710606824126,0.16626333223206302,1.9420507956099726,0.298688643486706,0.016302892019375292,0.01747260031675779,0.012108358259830254,0.013643333385267908,0.012302273637686767,0.1679040012032118,0.16536755648206736,0.1507540629207682,0.18177499208209014,0.09929554768564941,0.22394230345273058,0.2435201449068316,0.0037202001253930916,0.006992336861145532,0.007771445707327018,0.014065613773901475,0.010920790442874306,1.9193446741792641,3.4968314983866247
1800,0.15522738438402683,0.0038038910710795903,0.04234457214458587,0.1509511530696912,0.17662286881991918,0.013959402203639115,0.046899360478938945,0.010939363635841914,0.043191125485464,0.032931056845121986,0.15653153432946,1.598461682247386,0.26166799439668864,0.020415705354785985,0.018259779413156707,0.010492146717645312,0.012090504713683004,0.01063948557091976,0.1383658949691764,0.14215676613753203,0.13678215978871577,0.16014516618245977,0.08425636352217936,0.20974725744685685,0.20701419213136063,0.002901947184561493,0.00482147491912599,0.0063145273748617115,0.011809415676367507,0.008849065390727162,1.551022940469318,2.9874237845136196
2100,0.16099350141571023,0.0033104163133188536,0.04156081173908177,0.15600717885553905,0.16409507699824388,0.017162415771608153,0.0544809095353429,0.009095937695612122,0.038332145245604465,0.03318830217729385,0.16963271695434656,1.322021038767641,0.25161316980154425,0.025600400314012006,0.034770387968258376,0.009349693153133387,0.012037134532832283,0.01075993110467266,0.13259764567801113,0.12315421788150616,0.14756639997873577,0.1554630227239997,0.07270129151999072,0.2106579406467759,0.1975949493805942,0.002224728736301529,0.0034047543815063364,0.005185784424327267,0.00945252491167281,0.007341285866154124,1.2981869986257393,2.834133211009089
2400,0.09873710150021253,0.0025070785679091045,0.06351792852295546,0.13734425304159714,0.18030225056840266,0.0020343600527397143,0.017314790776204347,0.016298035596854277,0.05701228698703176,0.03227368453204349,0.1626032745186734,2.0251472364931047,0.26635547275484583,0.0064311466482323,0.01211864018601716,0.009691929648582231,0.011458684387832818,0.014125901128636542,0.19883933130933684,0.19199914776095284,0.16975612218107017,0.16151129697347244,0.11029154767446414,0.1627040819227048,0.2497831913901365,0.004875721855206905,0.01057029379692409,0.008792200286144691,0.01738239848293688,0.0137699011523722,1.9505034607696938,3.201155939827594
2700,0.0867002803691932,0.0034275976428048693,0.07306424759297414,0.14666242205766622,0.22192259608060283,0.003647443225133884,0.0041249796045690346,0.02105013232034736,0.07061398286234777,0.03441089020672905,0.1539645270320662,2.749710898488331,0.30488374680501806,0.02010979583130279,0.013967519281315788,0.012275873475559251,0.012440938286680137,0.01532938318010224,0.23004920565092135,0.23834359306999175,0.16792720239190828,0.18452098122306637,0.13850256077161305,0.16273522599622225,0.292278081586133,0.006530174126666566,0.014575313163902592,0.011497361471924705,0.022707387339004015,0.017719511313941894,2.6175811587848896,3.7960722254979706
