time,n1,n4,n31,n54,n105,n114,n163,n188,n215,n229,n288,n296,n332,n342,n410,n415,n429,n458,n469,n495,n506,n516,n519,n549,n613,n636,n644,n679,n722,n726,n740,n752,n769
0,6.492774055288919e-06,1.0752673780700661e-05,1.536803505075568e-05,2.9866530582012274e-07,8.982539156932035e-10,1.0314573728464893e-07,2.524516773405594e-07,1.5846924128481987e-07,1.0152608354019321e-07,2.3328799159116897e-07,3.838076878537322e-08,1.1931719967606114e-07,3.455319586009864e-09,1.8260914913525994e-07,2.37138820580185e-06,1.7005928043545282e-07,1.5940711506345906e-07,1.1765796159579622e-07,7.199474794106209e-09,5.701252803191892e-10,1.5691590249389264e-08,3.352678064061365e-07,4.7448581597109296e-07,8.983023036535087e-08,8.304956367055638e-08,1.7965419374377234e-07,1.6321782680961405e-07,3.823667569236022e-07,1.4674313320028887e-08,4.06822309173549e-08,1.886085243540947e-08,3.483322785768905e-08,4.0234560572116607e-08
300,5.718160416279261e-06,9.145877008620573e-06,1.4459614590123238e-05,2.0718523785490106e-07,6.964455678826198e-10,8.680821395046223e-08,1.9434242659599477e-07,1.33526938839168e-07,8.312611043947982e-08,1.816113410768594e-07,3.475214072068411e-08,1.1370116226316895e-07,1.3033009338414558e-08,9.255968791421765e-08,2.00291892582527e-06,2.103810388121019e-07,1.260426003568682e-07,8.034970022663401e-08,7.317872530165914e-09,3.8259884149738355e-09,1.6791751988876058e-08,3.105937977920803e-07,4.849171588716672e-07,1.3842550572462642e-07,4.760020999583503e-08,1.6808155578473816e-07,6.992867440658301e-08,3.93840416279545e-07,1.2880448707619507e-08,3.5372337947592314e-08,1.6564378313432826e-08,3.061888520505818e-08,3.706453810536914e-08
600,4.783594746982089e-06,7.225126267940141e-06,1.331270836146814e-05,9.156354963124613e-08,1.3891110484109959e-10,6.172327005060652e-08,1.3817811606031682e-07,1.1745377292982084e-07,5.7787239882145514e-08,1.1346210015972247e-07,2.8802155327412038e-08,1.0223417490351494e-07,2.3025492623673927e-08,3.924832014945423e-09,1.4478278984597637e-06,2.4585325775206e-07,8.118453820316063e-08,4.0438372650442034e-08,7.528669243583863e-09,7.344667096731428e-09,1.673991789630236e-08,2.618134828935581e-07,4.730488072368644e-07,1.80753339407147e-07,1.3303498747063713e-08,1.4263658698610016e-07,4.991991175984367e-08,3.805890074204399e-07,1.0285098994700093e-08,2.7477213393467537e-08,1.332818300170402e-08,2.45115217012426e-08,3.161866857226414e-08
900,3.850794488613474e-06,5.278613976145152e-06,1.2251870714408142e-05,3.4429156414717e-08,8.738396672924864e-10,3.09494083694517e-08,9.247006005352887e-08,1.1145547773594444e-07,2.71414464236841e-08,3.3791906162150553e-08,2.1766609847873042e-08,8.818165753154972e-08,3.326121600366605e-08,1.0218919044291397e-07,8.991130400204383e-07,2.803217000746372e-07,3.186888619666206e-08,7.1443793103753706e-09,8.226834324887022e-09,1.1091010776453913e-08,1.5790895702139096e-08,1.9673170470468904e-07,4.4657274145265546e-07,2.1796432747578365e-07,1.9874974555023073e-08,1.0665090144357237e-07,1.8776245269691572e-07,3.4983696650670026e-07,7.368043952737935e-09,1.833278417961992e-08,9.794703714760544e-09,1.7771839111446752e-08,2.504912544054605e-08
1200,2.984139857886703e-06,3.420220998862078e-06,1.1408727907280536e-05,1.6297445881718886e-07,2.4560051770095015e-09,4.773518469392002e-09,5.976075101443712e-08,1.1620696938052788e-07,9.065416861631093e-09,5.706041150688179e-08,1.3925941289016919e-08,7.231597720647187e-08,4.3576520170063304e-08,1.9907206905145358e-07,4.6315291513110424e-07,3.147153577742756e-07,1.8307204641132557e-08,1.511922675945243e-08,9.618418062018463e-09,1.505311786331731e-08,1.3840690371580422e-08,1.1568374702619622e-07,4.037444796267664e-07,2.4863824421572644e-07,5.1674518886102305e-08,5.8571671956997307e-08,3.374716683879342e-07,3.038615830064373e-07,4.248867924161459e-09,8.483034719120042e-09,6.092271576108033e-09,1.0479290324383328e-08,1.7646364369738876e-08
1500,2.050696661370921e-06,1.4950092506182955e-06,1.0282469141031925e-05,2.800086846832528e-07,4.093600125543162e-09,4.247716844929528e-08,2.6521142615365534e-08,1.257309776292459e-07,4.638891937247536e-08,1.4858188990274357e-07,4.559403521398053e-09,5.234805655618402e-08,5.1769681874702655e-08,2.782550581059695e-07,8.307353027703357e-09,3.3441640567843933e-07,6.661759499593245e-08,3.722758634694401e-08,1.063649790467025e-08,1.8367877885339112e-08,1.0715659470861283e-08,2.169292656617472e-08,3.387287890177504e-07,2.6178668122156523e-07,7.52190274511122e-08,4.3001335825465503e-10,4.673816178524248e-07,2.416766093915612e-07,7.190124051703606e-10,1.6179839690266817e-09,1.7401831087227038e-09,6.564704335687566e-10,9.057231409315136e-09
1800,9.210213143262536e-07,6.76022274603838e-07,8.465756522468837e-06,3.785863853522642e-07,5.503068223333685e-09,8.172072085699256e-08,1.6135366820435593e-08,1.3771661144801328e-07,8.327601364044313e-08,2.3704347285047334e-07,7.176637950578879e-09,2.5902508582476003e-08,5.6509527723846986e-08,3.3090744722130694e-07,5.645015832556055e-07,3.2948976524949103e-07,1.1239399100304581e-07,6.680069475351047e-08,1.0589275234451634e-08,2.052768621751966e-08,6.1307403598220844e-09,8.736783030371953e-08,2.433589614270204e-07,2.500372460190192e-07,8.59232542893551e-08,7.261424883608925e-08,5.594271712539012e-07,1.6035674121894772e-07,3.494392331049312e-09,1.198644383748615e-08,3.7662246654690534e-09,1.3417476907306991e-08,1.2947651839567698e-09
2100,5.154237676663342e-07,3.22876170599784e-06,5.562305048556482e-06,4.496718517543741e-07,6.3439742348236905e-09,1.2105325453148907e-07,7.601390450417966e-08,1.4913026546992114e-07,1.1710218927873939e-07,3.1616409046364424e-07,2.1822401663484925e-08,8.832635955968726e-09,5.625313548307531e-08,3.4698544482125726e-07,1.3446236053482608e-06,2.893778301427119e-07,1.540553569157055e-07,1.1076855344072101e-07,8.75182593063073e-09,2.0930940536345588e-08,7.845812888263026e-11,2.1074700384815515e-07,1.1164091517912311e-07,2.0617220997110053e-07,7.89787080179849e-08,1.5794402230540072e-07,5.931764945898976e-07,5.794913704448845e-08,8.555197439363837e-09,2.2422639744945627e-08,1.0778144599044026e-08,3.302657347603599e-08,1.374719005298175e-08
2400,1.7070045039702109e-06,5.152602675195794e-06,2.6005813182905513e-06,4.711217584940641e-07,6.585828771221713e-09,1.4663583414176173e-07,1.2496721524257737e-07,1.4828145111778213e-07,1.3811393273499561e-07,3.611913541590184e-07,3.338585230494573e-08,3.9324248746197554e-08,5.073925279930336e-08,3.2805069594132874e-07,1.8449903009809532e-06,2.2680817579612267e-07,1.7691748155357345e-07,1.3985827962414987e-07,6.30751628705184e-09,1.9366638071005582e-08,5.915715917126363e-09,3.0625709968035153e-07,1.547926586908943e-08,1.4579088514210525e-07,6.378628825132182e-08,2.2333117755124476e-07,5.636608051418079e-07,4.426557609349402e-08,1.2405621419020463e-08,2.9542619017774996e-08,1.6253864032478305e-08,4.905625416995463e-08,2.360363282605249e-08
2700,2.508012901358825e-06,6.165528667168019e-06,1.9077378254905852e-07,4.3413692907279255e-07,6.241450023480866e-09,1.5432552658012355e-07,1.5323691116009286e-07,1.3100950724265203e-07,1.430169973559714e-07,3.638605861056021e-07,3.9809663121559424e-08,6.120247775243115e-08,3.985496022096413e-08,2.744648242014591e-07,1.8725643613493048e-06,1.4679604021239356e-07,1.752897560436395e-07,1.4338635168087421e-07,3.69476538253366e-09,1.5767497529850516e-08,1.0740123457253503e-08,3.604604827955882e-07,1.2475339161710508e-07,7.370948651441722e-08,4.369204020804318e-08,2.577238262801984e-07,4.6761950045492995e-07,1.3747228422289481e-07,1.4345964416406787e-08,3.208717203051492e-08,1.9163231002039538e-08,5.847122963587026e-08,2.9282659852469806e-08
